group_id,param_id,graph_id,members,source_method
184,289,587,10 12 13 14 15 16 17 18 19 20 21 23 34 36 37 38 39 40 41 43,exhaustive
184,289,587,10 12 13 14 15 16 17 19 20 23 30 33 34 36 37 38 39 40 41 43,exhaustive
184,289,590,10 12 13 14 15 16 17 19 22 24 25 27 34 36 37 38 39 40 41 43,exhaustive
184,289,591,10 12 13 14 15 16 17 19 24 26 27 29 34 36 37 38 39 40 41 43,exhaustive
184,289,590,10 12 13 14 15 16 17 19 24 27 30 33 34 36 37 39 40 42 43 44,exhaustive
184,289,589,10 12 13 14 15 17 20 22 23 25 28 30 31 33 36 38 39 40 41 43,exhaustive
184,289,589,10 12 13 14 15 17 22 24 25 26 27 28 29 31 36 38 39 40 41 43,exhaustive
184,289,588,10 12 13 14 15 17 22 24 25 26 27 28 29 31 36 39 40 42 43 44,exhaustive
184,289,591,10 12 13 15 16 18 19 21 22 24 25 27 36 38 39 40 41 42 43 44,exhaustive
184,289,588,10 12 13 15 18 20 21 23 26 28 29 31 34 36 37 38 39 40 41 43,exhaustive
184,289,588,10 12 13 15 22 24 25 26 27 28 29 31 34 36 37 38 39 40 41 43,exhaustive
184,289,589,10 12 13 15 24 26 27 28 29 30 31 33 36 38 39 40 41 42 43 44,exhaustive
184,289,589,10 13 14 16 17 18 19 20 21 23 30 32 33 34 35 36 37 39 40 43,exhaustive
184,289,588,10 13 14 16 17 18 19 20 21 23 32 35 36 38 39 40 41 42 43 44,exhaustive
184,289,591,10 13 14 16 17 18 19 21 24 26 27 29 32 34 35 36 37 39 40 43,exhaustive
184,289,588,10 13 14 16 17 19 20 23 26 29 30 32 33 34 35 36 37 39 40 43,exhaustive
184,289,589,10 13 14 16 17 19 20 23 32 34 35 36 37 38 39 40 41 42 43 44,exhaustive
184,289,589,10 13 14 17 18 20 21 22 23 25 28 30 31 32 33 35 36 39 40 43,exhaustive
184,289,587,10 13 14 17 18 21 22 24 25 26 27 28 29 31 32 35 36 39 40 43,exhaustive
184,289,590,10 13 16 18 19 21 24 26 27 29 30 32 33 34 35 36 37 39 40 43,exhaustive
184,289,588,10 13 18 20 21 22 23 25 26 28 29 30 31 32 33 35 36 39 40 43,exhaustive
184,289,587,12 14 15 16 17 18 19 20 21 22 23 25 36 38 39 40 41 42 43 44,exhaustive
184,289,587,12 14 15 16 17 18 19 20 21 23 34 36 37 38 39 40 41 42 43 44,exhaustive
184,289,590,12 14 15 16 17 18 19 21 24 26 27 29 36 38 39 40 41 42 43 44,exhaustive
184,289,591,12 14 15 16 17 18 19 21 24 27 30 33 36 38 39 40 41 42 43 44,exhaustive
184,289,589,12 14 15 17 18 20 21 23 26 28 29 31 34 36 37 39 40 42 43 44,exhaustive
184,289,589,12 14 15 17 18 21 24 26 27 28 29 30 31 33 36 39 40 42 43 44,exhaustive
184,289,588,12 14 15 17 20 22 23 25 28 30 31 33 36 38 39 40 41 42 43 44,exhaustive
184,289,588,12 14 15 17 24 26 27 28 29 30 31 33 36 38 39 40 41 42 43 44,exhaustive
184,289,589,14 16 17 18 19 20 21 22 23 25 32 34 35 36 37 38 39 40 41 43,exhaustive
184,289,588,14 16 17 18 19 20 21 23 30 32 33 34 35 36 37 38 39 40 41 43,exhaustive
184,289,591,14 16 17 18 19 21 22 24 25 27 30 32 33 35 36 38 39 40 41 43,exhaustive
184,289,590,14 16 17 19 22 24 25 27 30 32 33 34 35 36 37 38 39 40 41 43,exhaustive
184,289,589,14 17 18 20 21 22 23 25 26 28 29 31 32 34 35 36 37 39 40 43,exhaustive
184,289,587,14 17 18 21 22 24 25 26 27 28 29 30 31 32 33 35 36 39 40 43,exhaustive
184,289,588,14 17 20 22 23 25 26 28 29 30 31 32 33 34 35 36 37 39 40 43,exhaustive
184,289,589,16 18 19 20 21 22 23 25 26 29 32 35 36 38 39 40 41 42 43 44,exhaustive
184,289,588,16 18 19 20 21 22 23 25 32 34 35 36 37 38 39 40 41 42 43 44,exhaustive
184,289,591,16 18 19 21 22 24 25 26 27 29 32 34 35 36 37 39 40 42 43 44,exhaustive
184,289,590,16 18 19 21 24 26 27 29 32 34 35 36 37 38 39 40 41 42 43 44,exhaustive
184,289,589,18 20 21 22 23 25 26 28 29 30 31 32 33 35 36 38 39 40 41 43,exhaustive
184,289,588,18 20 21 23 26 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43,exhaustive
184,289,587,18 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40 43,exhaustive
184,289,587,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23,exhaustive
184,289,587,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 23 42 44,exhaustive
184,289,588,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 22 24 25 27,exhaustive
184,289,589,2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 24 27 38 41,exhaustive
184,289,588,2 4 5 6 7 8 9 10 11 12 13 15 16 18 19 21 24 27 42 44,exhaustive
184,289,587,2 4 5 6 7 8 9 10 11 12 13 15 16 19 20 23 38 41 42 44,exhaustive
184,289,589,2 4 5 6 7 8 9 10 11 12 13 15 16 19 24 27 34 37 42 44,exhaustive
184,289,590,2 4 5 6 7 8 9 10 11 12 13 15 18 20 21 23 26 28 29 31,exhaustive
184,289,591,2 4 5 6 7 8 9 10 11 12 13 15 20 23 28 30 31 33 38 41,exhaustive
184,289,588,2 4 5 6 7 8 9 10 11 12 13 15 22 24 25 26 27 28 29 31,exhaustive
184,289,589,2 4 5 6 7 8 9 10 11 12 13 15 24 27 28 30 31 33 34 37,exhaustive
184,289,587,2 4 5 6 7 8 9 10 11 13 24 26 27 28 29 30 31 32 33 35,exhaustive
184,289,588,2 4 5 6 7 8 9 11 12 14 15 16 17 19 24 27 38 41 42 44,exhaustive
184,289,590,2 4 5 6 7 8 9 11 12 14 15 17 20 22 23 25 28 31 42 44,exhaustive
184,289,587,2 4 5 6 7 8 9 11 12 15 16 19 20 23 34 37 38 41 42 44,exhaustive
184,289,589,2 4 5 6 7 8 9 11 12 15 16 19 24 27 30 33 38 41 42 44,exhaustive
184,289,589,2 4 5 6 7 8 9 11 12 15 18 21 22 24 25 26 27 28 29 31,exhaustive
184,289,588,2 4 5 6 7 8 9 11 12 15 18 21 22 24 25 27 28 31 42 44,exhaustive
184,289,591,2 4 5 6 7 8 9 11 12 15 20 23 26 28 29 31 34 37 42 44,exhaustive
184,289,588,2 4 5 6 7 8 9 11 12 15 24 26 27 28 29 30 31 33 34 37,exhaustive
184,289,589,2 4 5 6 7 8 9 11 12 15 24 26 27 28 29 30 31 33 42 44,exhaustive
184,289,588,2 4 5 6 7 8 9 11 14 16 17 18 19 20 21 23 30 32 33 35,exhaustive
184,289,589,2 4 5 6 7 8 9 11 14 16 17 18 19 20 21 23 32 34 35 37,exhaustive
184,289,588,2 4 5 6 7 8 9 11 14 16 17 19 22 24 25 27 30 32 33 35,exhaustive
184,289,591,2 4 5 6 7 8 9 11 14 17 20 23 26 28 29 30 31 32 33 35,exhaustive
184,289,588,2 4 5 6 7 8 9 11 16 18 19 20 21 23 32 34 35 37 38 41,exhaustive
184,289,589,2 4 5 6 7 8 9 11 16 19 20 22 23 25 32 34 35 37 38 41,exhaustive
184,289,589,2 4 5 6 7 8 9 11 16 19 22 24 25 27 30 32 33 35 38 41,exhaustive
184,289,590,2 4 5 6 7 8 9 11 18 20 21 23 26 28 29 30 31 32 33 35,exhaustive
184,289,591,2 4 5 6 7 8 9 11 20 22 23 25 26 28 29 31 32 34 35 37,exhaustive
184,289,590,2 4 5 6 7 8 9 11 20 22 23 25 26 28 29 31 32 35 38 41,exhaustive
184,289,587,2 4 5 6 7 8 9 11 22 24 25 26 27 28 29 30 31 32 33 35,exhaustive
184,289,587,2 4 5 6 7 8 9 11 22 24 25 26 27 28 29 31 32 35 42 44,exhaustive
184,289,592,2 4 5 6 7 9 10 12 13 15 16 18 19 20 21 23 30 33 36 39,exhaustive
184,289,593,2 4 5 6 7 9 10 12 13 15 16 19 20 23 26 29 36 38 39 41,exhaustive
184,289,590,2 4 5 6 7 9 10 13 14 17 24 26 27 28 29 31 32 35 36 39,exhaustive
184,289,591,2 4 5 6 7 9 10 13 14 17 24 27 28 31 32 34 35 36 37 39,exhaustive
184,289,591,2 4 5 6 7 9 10 13 18 20 21 23 28 31 32 34 35 36 37 39,exhaustive
184,289,590,2 4 5 6 7 9 10 13 20 22 23 25 28 31 32 35 36 38 39 41,exhaustive
184,289,590,2 4 5 6 7 9 10 13 22 24 25 27 28 31 32 35 36 39 42 44,exhaustive
184,289,591,2 4 5 6 7 9 10 13 24 27 28 30 31 32 33 35 36 39 42 44,exhaustive
184,289,592,2 4 5 6 7 9 12 14 15 16 17 19 20 23 26 29 36 39 42 44,exhaustive
184,289,587,2 4 5 6 7 9 12 14 15 16 17 19 24 26 27 29 36 38 39 41,exhaustive
184,289,588,2 4 5 6 7 9 12 14 15 17 24 26 27 28 29 31 34 36 37 39,exhaustive
184,289,593,2 4 5 6 7 9 12 15 16 19 20 22 23 25 34 36 37 39 42 44,exhaustive
184,289,589,2 4 5 6 7 9 12 15 18 21 24 26 27 28 29 31 36 38 39 41,exhaustive
184,289,591,2 4 5 6 7 9 14 16 17 19 22 24 25 27 32 34 35 36 37 39,exhaustive
184,289,591,2 4 5 6 7 9 14 17 20 23 28 30 31 32 33 35 36 39 42 44,exhaustive
184,289,587,2 4 5 6 7 9 16 18 19 20 21 22 23 25 32 34 35 36 37 39,exhaustive
184,289,587,2 4 5 6 7 9 16 18 19 20 21 23 30 32 33 34 35 36 37 39,exhaustive
184,289,590,2 4 5 6 7 9 16 18 19 21 24 27 30 32 33 35 36 38 39 41,exhaustive
184,289,590,2 4 5 6 7 9 18 20 21 23 28 31 32 34 35 36 37 39 42 44,exhaustive
184,289,590,2 4 5 6 7 9 18 21 24 27 28 31 32 35 36 38 39 41 42 44,exhaustive
184,289,591,2 4 5 6 7 9 24 26 27 28 29 31 32 35 36 38 39 41 42 44,exhaustive
184,289,593,2 4 5 7 10 12 13 14 15 16 17 18 19 20 21 23 34 36 37 39,exhaustive
184,289,587,2 4 5 7 10 12 13 14 15 16 17 19 22 24 25 27 34 36 37 39,exhaustive
184,289,589,2 4 5 7 10 12 13 14 15 17 24 26 27 28 29 31 34 36 37 39,exhaustive
184,289,592,2 4 5 7 10 12 13 15 16 19 20 22 23 25 36 38 39 41 42 44,exhaustive
184,289,587,2 4 5 7 10 12 13 15 16 19 22 24 25 27 34 36 37 39 42 44,exhaustive
184,289,587,2 4 5 7 10 12 13 15 18 20 21 23 26 28 29 31 34 36 37 39,exhaustive
184,289,587,2 4 5 7 10 12 13 15 18 20 21 23 26 28 29 31 36 38 39 41,exhaustive
184,289,587,2 4 5 7 10 12 13 15 18 20 21 23 28 30 31 33 36 38 39 41,exhaustive
184,289,587,2 4 5 7 10 12 13 15 20 22 23 25 28 30 31 33 36 38 39 41,exhaustive
184,289,588,2 4 5 7 10 12 13 15 22 24 25 26 27 28 29 31 34 36 37 39,exhaustive
184,289,589,2 4 5 7 10 12 13 15 22 24 25 27 28 30 31 33 34 36 37 39,exhaustive
184,289,588,2 4 5 7 10 12 13 15 22 24 25 27 28 30 31 33 36 39 42 44,exhaustive
184,289,590,2 4 5 7 10 13 14 16 17 19 24 26 27 29 32 35 36 38 39 41,exhaustive
184,289,590,2 4 5 7 10 13 14 17 18 20 21 23 28 30 31 32 33 35 36 39,exhaustive
184,289,590,2 4 5 7 10 13 16 18 19 21 22 24 25 27 32 34 35 36 37 39,exhaustive
184,289,591,2 4 5 7 10 13 16 18 19 21 24 27 30 32 33 35 36 39 42 44,exhaustive
184,289,591,2 4 5 7 10 13 16 19 22 24 25 27 32 34 35 36 37 38 39 41,exhaustive
184,289,591,2 4 5 7 10 13 20 23 26 28 29 31 32 35 36 38 39 41 42 44,exhaustive
184,289,593,2 4 5 7 12 14 15 16 17 19 20 22 23 25 26 29 30 33 36 39,exhaustive
184,289,592,2 4 5 7 12 14 15 16 17 19 20 23 30 33 34 36 37 38 39 41,exhaustive
184,289,587,2 4 5 7 12 14 15 16 17 19 22 24 25 26 27 29 34 36 37 39,exhaustive
184,289,587,2 4 5 7 12 14 15 16 17 19 24 26 27 29 34 36 37 38 39 41,exhaustive
184,289,588,2 4 5 7 12 14 15 17 18 21 24 26 27 28 29 31 36 38 39 41,exhaustive
184,289,587,2 4 5 7 12 14 15 17 20 22 23 25 28 30 31 33 36 38 39 41,exhaustive
184,289,589,2 4 5 7 12 14 15 17 22 24 25 26 27 28 29 31 36 38 39 41,exhaustive
184,289,588,2 4 5 7 12 14 15 17 22 24 25 27 28 31 34 36 37 38 39 41,exhaustive
184,289,589,2 4 5 7 12 14 15 17 22 24 25 27 28 31 34 36 37 39 42 44,exhaustive
184,289,592,2 4 5 7 12 15 16 18 19 20 21 22 23 25 26 29 34 36 37 39,exhaustive
184,289,593,2 4 5 7 12 15 16 18 19 20 21 23 30 33 36 38 39 41 42 44,exhaustive
184,289,587,2 4 5 7 14 16 17 18 19 20 21 23 30 32 33 34 35 36 37 39,exhaustive
184,289,587,2 4 5 7 14 16 17 18 19 20 21 23 30 32 33 35 36 39 42 44,exhaustive
184,289,591,2 4 5 7 14 16 17 18 19 21 24 26 27 29 32 34 35 36 37 39,exhaustive
184,289,587,2 4 5 7 14 16 17 19 20 23 26 29 30 32 33 35 36 39 42 44,exhaustive
184,289,590,2 4 5 7 14 16 17 19 22 24 25 27 30 32 33 34 35 36 37 39,exhaustive
184,289,591,2 4 5 7 14 16 17 19 24 26 27 29 30 32 33 35 36 38 39 41,exhaustive
184,289,590,2 4 5 7 14 16 17 19 24 26 27 29 32 34 35 36 37 39 42 44,exhaustive
184,289,591,2 4 5 7 14 17 18 20 21 22 23 25 28 30 31 32 33 35 36 39,exhaustive
184,289,591,2 4 5 7 14 17 18 21 22 24 25 26 27 28 29 31 32 35 36 39,exhaustive
184,289,590,2 4 5 7 14 17 20 23 28 30 31 32 33 35 36 38 39 41 42 44,exhaustive
184,289,590,2 4 5 7 14 17 24 27 28 31 32 34 35 36 37 38 39 41 42 44,exhaustive
184,289,590,2 4 5 7 18 20 21 23 26 28 29 30 31 32 33 34 35 36 37 39,exhaustive
184,289,591,2 4 5 7 18 20 21 23 28 30 31 32 33 34 35 36 37 38 39 41,exhaustive
184,289,590,2 4 5 7 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39,exhaustive
