n,k,t,lambda,mu,status
6,2,1,0,1,known
8,3,2,1,1,known
10,4,2,1,2,known
12,3,1,0,1,known
12,4,2,0,2,known
12,5,3,2,2,known
14,5,4,1,2,impossible
14,6,3,2,3,known
15,4,2,1,1,known
15,5,2,1,2,known
16,6,3,1,3,impossible
16,7,4,3,3,known
16,7,5,4,2,known
18,4,3,0,1,known
18,5,3,2,1,known
18,6,3,0,3,known
18,7,5,2,3,known
18,8,4,3,4,known
18,8,5,4,3,known
20,4,1,0,1,known
20,7,4,3,2,known
20,8,4,2,4,known
20,9,5,4,4,known
21,6,2,1,2,known
21,8,4,3,3,known
22,9,6,3,4,known
22,10,5,4,5,known
24,5,2,1,1,known
24,6,2,0,2,known
24,7,3,2,2,known
24,8,4,0,4,known
24,8,3,2,3,known
24,9,7,2,4,known
24,10,5,3,5,open
24,10,8,4,4,known
24,11,6,5,5,known
24,11,7,6,4,known
24,11,8,7,3,known
25,9,6,5,2,impossible
25,10,6,1,6,impossible
26,11,7,4,5,known
26,12,6,5,6,known
27,7,4,1,2,open
27,8,4,3,2,known
27,9,4,1,4,impossible
27,10,6,3,4,known
27,11,6,5,4,open
27,12,8,2,8,impossible
28,6,3,2,1,open
28,7,2,1,2,known
28,12,6,4,6,known
28,13,7,6,6,known
30,5,1,0,1,known
30,7,5,0,2,impossible
30,9,3,2,3,known
30,9,5,4,2,known
30,10,5,0,5,known
30,10,4,2,4,known
30,11,9,2,5,open
30,11,5,4,4,known
30,12,6,3,6,known
30,12,11,4,5,open
30,13,8,5,6,known
30,13,11,6,5,known
30,14,7,6,7,known
30,14,8,7,6,known
30,14,9,8,5,known
32,6,5,1,1,impossible
32,7,4,3,1,known
32,9,6,1,3,known
32,10,7,3,3,known
32,11,6,5,3,open
32,12,6,2,6,impossible
32,13,9,4,6,known
32,14,7,5,7,open
32,14,10,6,6,known
32,15,8,7,7,known
32,15,9,8,6,known
32,15,11,10,4,known
33,10,4,3,3,known
33,11,4,3,4,known
33,12,8,3,5,open
34,14,12,5,6,known
34,15,9,6,7,known
34,16,8,7,8,known
35,6,2,1,1,known
35,8,4,1,2,known
35,12,8,4,4,open
35,14,6,5,6,known
36,8,2,1,2,known
36,9,3,0,3,known
36,10,5,2,3,known
36,11,5,4,3,known
36,11,7,6,2,known
36,12,6,0,6,known
36,12,5,2,5,known
36,13,11,2,6,known
36,13,7,4,5,known
