n,k,t,lambda,mu,lib_id,method,outcome,num_dpds
6,2,1,0,1,1,exhaustive,found,6
8,3,2,1,1,3,exhaustive,found,8
10,4,2,1,2,1,exhaustive,found,20
12,4,2,0,2,1,exhaustive,found,6
12,5,3,2,2,1,exhaustive,found,6
12,3,1,0,1,3,exhaustive,found,12
12,5,3,2,2,3,exhaustive,found,24
12,4,2,0,2,4,exhaustive,found,6
12,5,3,2,2,4,exhaustive,found,18
14,6,3,2,3,1,exhaustive,found,70
16,7,5,4,2,3,exhaustive,found,16
16,7,5,4,2,4,exhaustive,found,8
16,7,4,3,3,7,exhaustive,found,32
16,7,5,4,2,7,exhaustive,found,8
16,7,4,3,3,8,exhaustive,found,32
16,7,5,4,2,8,exhaustive,found,8
16,7,5,4,2,9,exhaustive,found,8
16,7,5,4,2,11,exhaustive,found,16
18,6,3,0,3,1,exhaustive,found,6
18,8,4,3,4,1,exhaustive,found,234
18,8,5,4,3,1,exhaustive,found,6
18,4,3,0,1,3,exhaustive,found,12
18,5,3,2,1,3,exhaustive,found,12
18,6,3,0,3,3,exhaustive,found,6
18,7,5,2,3,3,exhaustive,found,24
18,8,5,4,3,3,exhaustive,found,6
18,4,3,0,1,4,exhaustive,found,144
18,6,3,0,3,4,exhaustive,found,24
18,8,4,3,4,4,exhaustive,found,288
18,8,5,4,3,4,exhaustive,found,24
20,8,4,2,4,1,exhaustive,found,20
20,9,5,4,4,1,exhaustive,found,20
20,4,1,0,1,3,exhaustive,found,20
20,7,4,3,2,3,exhaustive,found,40
20,8,4,2,4,3,exhaustive,found,60
20,9,5,4,4,3,exhaustive,found,60
20,8,4,2,4,4,exhaustive,found,20
20,9,5,4,4,4,exhaustive,found,60
21,6,2,1,2,1,exhaustive,found,126
21,8,4,3,3,1,exhaustive,found,84
22,10,5,4,5,1,exhaustive,found,594
24,8,4,0,4,1,exhaustive,found,6
24,11,7,6,4,1,exhaustive,found,6
24,6,2,0,2,3,exhaustive,found,12
24,7,3,2,2,3,exhaustive,found,12
24,11,7,6,4,3,exhaustive,found,24
24,8,4,0,4,4,exhaustive,found,6
24,11,7,6,4,4,exhaustive,found,18
24,8,4,0,4,5,exhaustive,found,6
24,11,7,6,4,5,exhaustive,found,18
24,8,4,0,4,6,exhaustive,found,6
24,11,6,5,5,6,exhaustive,found,144
24,11,7,6,4,6,exhaustive,found,18
24,11,8,7,3,6,exhaustive,found,8
24,8,4,0,4,7,exhaustive,found,6
24,11,7,6,4,7,exhaustive,found,18
24,8,4,0,4,8,exhaustive,found,6
24,11,6,5,5,8,exhaustive,found,96
24,11,7,6,4,8,exhaustive,found,18
24,11,8,7,3,8,exhaustive,found,8
24,11,8,7,3,10,exhaustive,found,8
24,5,2,1,1,12,exhaustive,found,96
24,6,2,0,2,12,exhaustive,found,12
24,7,3,2,2,12,exhaustive,found,228
24,8,3,2,3,12,exhaustive,found,192
24,8,4,0,4,12,exhaustive,found,6
24,9,7,2,4,12,exhaustive,found,24
24,10,8,4,4,12,exhaustive,found,72
