n,k,t,lambda,mu,Status
6,2,1,0,1,known
6,3,2,1,2,known
8,3,2,1,1,known
8,4,3,1,3,known
10,4,2,1,2,known
10,5,3,2,3,known
12,3,1,0,1,known
12,8,6,5,6,known
12,4,2,0,2,known
12,7,5,4,4,known
12,5,3,2,2,known
12,6,4,2,4,known
14,5,4,1,2,impossible
14,8,7,4,5,open
14,6,3,2,3,known
14,7,4,3,4,known
15,4,2,1,1,known
15,10,8,6,8,open
15,5,2,1,2,known
15,9,6,5,6,open
16,6,3,1,3,impossible
16,9,6,5,5,open
16,7,4,3,3,known
16,8,5,3,5,known
16,7,5,4,2,known
16,8,6,2,6,known
18,4,3,0,1,known
18,13,12,9,10,open
18,5,3,2,1,known
18,12,10,7,10,known
18,6,3,0,3,known
18,11,8,7,6,known
18,7,5,2,3,known
18,10,8,5,6,open
18,8,4,3,4,known
18,9,5,4,5,known
18,8,5,4,3,known
18,9,6,3,6,known
20,4,1,0,1,known
20,15,12,11,12,known
20,7,4,3,2,known
20,12,9,6,9,known
20,8,4,2,4,known
20,11,7,6,6,known
20,9,5,4,4,known
20,10,6,4,6,known
21,6,2,1,2,known
21,14,10,9,10,known
21,8,4,3,3,known
21,12,8,6,8,known
22,9,6,3,4,known
22,12,9,6,7,open
22,10,5,4,5,known
22,11,6,5,6,known
24,5,2,1,1,known
24,18,15,13,15,open
24,6,2,0,2,known
24,17,13,12,12,known
24,7,3,2,2,known
24,16,12,10,12,known
24,8,4,0,4,known
24,15,11,10,8,known
24,8,3,2,3,known
24,15,10,9,10,open
24,9,7,2,4,known
24,14,12,8,8,open
24,10,5,3,5,open
24,13,8,7,7,open
24,10,8,4,4,known
24,13,11,6,8,open
24,11,6,5,5,known
24,12,7,5,7,known
24,11,7,6,4,known
24,12,8,4,8,known
24,11,8,7,3,known
24,12,9,3,9,known
25,9,6,5,2,open
25,15,12,7,12,impossible
25,10,6,1,6,impossible
25,14,10,9,6,open
26,11,7,4,5,known
26,14,10,7,8,open
26,12,6,5,6,known
26,13,7,6,7,known
27,7,4,1,2,open
27,19,16,13,14,open
27,8,4,3,2,known
27,18,14,11,14,known
27,9,4,1,4,impossible
27,17,12,11,10,open
27,10,6,3,4,known
27,16,12,9,10,open
27,11,6,5,4,open
27,15,10,7,10,open
27,12,8,2,8,impossible
27,14,10,9,5,open
28,6,3,2,1,open
28,21,18,15,18,open
28,7,2,1,2,known
28,20,15,14,15,open
28,12,6,4,6,known
28,15,9,8,8,known
28,13,7,6,6,known
28,14,8,6,8,known
30,5,1,0,1,known
30,24,20,19,20,known
30,7,5,0,2,impossible
30,22,20,16,16,open
30,9,3,2,3,known
30,20,14,13,14,known
30,9,5,4,2,known
30,20,16,12,16,known
30,10,5,0,5,known
30,19,14,13,10,known
30,10,4,2,4,known
30,19,13,12,12,known
30,11,9,2,5,open
30,18,16,11,10,open
30,11,5,4,4,known
30,18,12,10,12,known
30,12,6,3,6,known
30,17,11,10,9,known
30,12,11,4,5,open
30,17,16,9,10,open
30,13,8,5,6,known
30,16,11,8,9,open
30,13,11,6,5,known
30,16,14,7,10,open
30,14,7,6,7,known
30,15,8,7,8,known
30,14,8,7,6,known
30,15,9,6,9,known
30,14,9,8,5,known
30,15,10,5,10,known
32,6,5,1,1,impossible
32,25,24,19,21,open
32,7,4,3,1,known
32,24,21,17,21,known
32,9,6,1,3,known
32,22,19,15,15,open
32,10,7,3,3,known
32,21,18,13,15,open
32,11,6,5,3,open
32,20,15,11,15,open
32,12,6,2,6,impossible
32,19,13,12,10,open
32,13,9,4,6,known
32,18,14,10,10,known
32,14,7,5,7,open
32,17,10,9,9,open
32,14,10,6,6,known
32,17,13,8,10,open
32,15,8,7,7,known
32,16,9,7,9,known
32,15,9,8,6,known
32,16,10,6,10,known
32,15,11,10,4,known
32,16,12,4,12,known
33,10,4,3,3,known
33,22,16,14,16,open
33,11,4,3,4,known
33,21,14,13,14,open
33,12,8,3,5,open
33,20,16,12,12,open
34,14,12,5,6,known
34,19,17,10,11,open
34,15,9,6,7,known
34,18,12,9,10,open
34,16,8,7,8,known
34,17,9,8,9,known
35,6,2,1,1,known
35,28,24,22,24,open
35,8,4,1,2,known
35,26,22,19,20,open
35,12,8,4,4,open
35,22,18,13,15,open
35,14,6,5,6,known
35,20,12,11,12,open
36,8,2,1,2,known
36,27,21,20,21,known
36,9,3,0,3,known
36,26,20,19,18,known
36,10,5,2,3,known
36,25,20,17,18,open
36,11,5,4,3,known
36,24,18,15,18,known
36,11,7,6,2,known
36,24,20,14,20,known
36,12,6,0,6,known
36,23,17,16,12,known
36,12,5,2,5,known
36,23,16,15,14,open
36,13,11,2,6,known
36,22,20,14,12,open
36,13,7,4,5,known
36,22,16,13,14,open
36,14,7,6,5,open
36,21,14,11,14,open
36,16,8,6,8,known
36,19,11,10,10,known
36,16,14,8,6,open
36,19,17,8,12,open
36,17,9,8,8,known
36,18,10,8,10,known
36,17,11,10,6,known
36,18,12,6,12,known
38,16,13,6,7,open
38,21,18,11,12,open
38,17,10,7,8,open
38,20,13,10,11,open
38,18,9,8,9,known
38,19,10,9,10,known
39,10,6,1,3,known
39,28,24,20,20,open
39,12,4,3,4,known
39,26,18,17,18,known
39,14,6,5,5,known
39,24,16,14,16,known
39,16,12,7,6,known
39,22,18,11,14,open
40,6,3,0,1,impossible
40,33,30,27,28,open
40,8,2,0,2,known
40,31,25,24,24,known
40,9,3,2,2,known
40,30,24,22,24,known
40,9,6,5,1,open
40,30,27,21,27,open
40,10,3,1,3,known
40,29,22,21,21,open
40,11,4,3,3,known
40,28,21,19,21,open
40,15,6,5,6,known
40,24,15,14,15,open
40,15,12,3,7,open
40,24,21,15,13,open
40,15,9,8,4,known
40,24,18,12,18,known
40,16,8,4,8,known
40,23,15,14,12,known
40,17,11,6,8,known
40,22,16,12,12,open
40,18,9,7,9,open
40,21,12,11,11,open
40,18,12,8,8,open
40,21,15,10,12,open
40,18,15,9,7,open
40,21,18,9,13,open
40,19,10,9,9,known
40,20,11,9,11,known
40,19,11,10,8,known
40,20,12,8,12,known
40,19,14,13,5,known
40,20,15,5,15,known
42,6,1,0,1,known
42,35,30,29,30,known
42,11,6,5,2,known
42,30,25,20,25,known
42,12,4,2,4,known
42,29,21,20,20,known
42,12,9,4,3,open
42,29,26,19,22,open
42,13,5,4,4,known
42,28,20,18,20,known
42,14,7,0,7,known
42,27,20,19,14,known
42,14,5,4,5,known
42,27,18,17,18,open
42,15,9,4,6,open
42,26,20,16,16,open
42,17,9,8,6,known
42,24,16,12,16,known
42,18,9,6,9,known
42,23,14,13,12,known
42,18,14,7,8,open
42,23,19,12,13,open
42,19,11,8,9,open
42,22,14,11,12,open
42,20,10,9,10,known
42,21,11,10,11,known
42,20,11,10,9,known
42,21,12,9,12,known
42,20,13,12,7,known
42,21,14,7,14,known
44,10,4,3,2,known
44,33,27,24,27,open
44,11,3,2,3,known
44,32,24,23,24,open
44,12,8,1,4,open
44,31,27,22,21,open
44,17,13,4,8,open
44,26,22,16,14,open
44,20,10,8,10,known
44,23,13,12,12,known
44,20,16,10,8,open
44,23,19,10,14,open
44,21,11,10,10,known
44,22,12,10,12,known
45,8,4,3,1,known
45,36,32,28,32,open
45,9,2,1,2,known
45,35,28,27,28,open
45,12,4,1,4,impossible
45,32,24,23,22,open
45,13,6,3,4,open
